List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],39421-75-5,"Guar gum, 2-hydroxypropyl ether","Guar gum, 2-hydroxypropyl ether",,
Green [Circle],70142-34-6,"Octadecanoic acid, 12-hydroxy-, polymer with alpha-hydro-omega-hydroxypoly(oxy-1,2-ethanediyl)","Octadecanoic acid, 12-hydroxy-, polymer with alpha-hydro-omega-hydroxypoly(oxy-1,2-ethanediyl)",,
Half Green [Circle],53637-25-5,"Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2-propanediol (2:1)","Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2-propanediol (2:1)",,
Green [Circle],9003-29-6,Polybutene,"Butene, homopolymer",,
Half Green [Circle],25322-68-3,Polyethylene glycol,"Poly(oxy-1,2-ethanediyl), alpha-hydro-omega-hydroxy-",,
Green [Circle],26099-09-2,Polymaleic acid,"2-Butenedioic acid (2Z)-, homopolymer",,
Green [Circle],25087-26-7,Polymethacrylic acid,"2-Propenoic acid, 2-methyl-, homopolymer",,
Green [Circle],9003-07-0,Polypropylene,"1-Propene, homopolymer",,
Green [Circle],9002-89-5,Polyvinyl alcohol,"Ethenol, homopolymer",,
Green [Circle],9003-39-8,Polyvinylpyrrolidone,"2-Pyrrolidinone, 1-ethenyl-, homopolymer",,
Green [Circle],97953-25-8,"Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt","Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt",,
Green [Circle],8061-51-6,Sodium ligninsulfonate,"Lignosulfonic acid, sodium salt",,
Green [Circle],34345-47-6,Sodium polyaspartate,"L-Aspartic acid, homopolymer, sodium salt",,
Green [Circle],25086-62-8,Sodium polymethacrylate,"2-Propenoic acid, 2-methyl-, sodium salt (1:1), homopolymer",,
Green [Circle],54193-36-1,Sodium polymethacrylate,"2-Propenoic acid, 2-methyl-, homopolymer, sodium salt",,
Green [Circle],1443994-56-6,Sorbitan oleate decylglucoside crosspolymer,"D-Glucopyranose, oligomeric, decyl octyl glycosides, polymers with epichlorohydrin and sorbitan monooleate",,
Half Green [Circle],1117804-71-3,"Starch, 2-carboxyethyl 2-methyl-3-oxo-3-[[3-(trimethylammonio)propyl]amino]propyl ether, chloride","Starch, 2-carboxyethyl 2-methyl-3-oxo-3-[[3-(trimethylammonio)propyl]amino]propyl ether, chloride",,
Green [Circle],9005-27-0,"Starch, 2-hydroxyethyl ether","Starch, 2-hydroxyethyl ether",,
Green [Circle],1354427-59-0,"Syrups, hydrolyzed starch, polymers with acrylic acid and maleic anhydride, sodium salt, hydrogen peroxide- and peroxydisulfuric acid ([(HO)S(O)2]2O2) sodium salt (1:2)-initiated","Syrups, hydrolyzed starch, polymers with acrylic acid and maleic anhydride, sodium salt, hydrogen peroxide- and peroxydisulfuric acid ([(HO)S(O)2]2O2) sodium salt (1:2)-initiated",,
Green [Circle],25213-24-5,Vinyl acetate vinyl alcohol polymer,"Acetic acid ethenyl ester, polymer with ethenol",,
