List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Yellow [Triangle],25322-69-4,Polypropylene glycol,"Poly[oxy(methyl-1,2-ethanediyl)], alpha-hydro-omega-hydroxy-","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],88917-22-0,"Propanol 1 (or 2)-2-methoxymethyl ethoxy, acetate","Propanol, 1(or 2)-(2-methoxymethylethoxy)-, acetate",,
Yellow [Triangle],25498-49-1,"Propanol, [2-(2-methoxymethylethoxy)methylethoxy]-","Propanol, [2-(2-methoxymethylethoxy)methylethoxy]-","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],109-60-4,Propyl acetate,"Acetic acid, propyl ester",,
Green [Circle],108-32-7,Propylene carbonate,"1,3-Dioxolan-2-one, 4-methyl-",,
Green [Circle],108-65-6,Propylene glycol methyl ether acetate,"2-Propanol, 1-methoxy-, 2-acetate",,
Green [Circle],5131-66-8,Propylene glycol n-butyl ether,"2-Propanol, 1-butoxy-",,
Green [Circle],67784-80-9,"Soybean oil, methyl esters","Soybean oil, Me ester",,
Half Green [Circle],112-60-7,Tetraethylene glycol,"Ethanol, 2,2'-[oxybis(2,1-ethanediyloxy)]bis-",,
Yellow [Triangle],77-93-0,Triethyl citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-triethyl ester","*Known sensitizer, see above.",
Green [Circle],112-27-6,Triethylene Glycol,"Ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-",,
Yellow [Triangle],25265-77-4,Trimethyl hydroxypentyl isobutyrate,"Propanoic acid, 2-methyl-, monoester with 2,2,4-trimethyl-1,3-pentanediol","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],682-09-7,Trimethylopropane diallyl ether,"1-Butanol, 2,2-bis[(2-propen-1-yloxy)methyl]-",,
Green [Circle],24800-44-0,Tripropylene glycol,"Propanol, [(1-methyl-1,2-ethanediyl)bis(oxy)]bis-",,
Green [Circle],55934-93-5,Tripropylene glycol n-butyl ether,"Propanol, [2-(2-butoxymethylethoxy)methylethoxy]-",,
Green [Circle],7732-18-5,Water,Water,,
Green [Circle],8042-47-5,"White mineral oil, petroleum",White mineral oil (petroleum),,
