CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
5802-92-6,Disodium 2-sulfomyristate,"Tetradecanoic acid, 2-sulfo-, sodium salt (1:2)",Half Green [Circle],,Chemical added to the list,44418.0
4348-76-9,2-O-Rhamnopyranosyl-rhamnopyranosyl-3-hydroxyldecanoyl-3-hydroxydecanoate,"Decanoic acid, 3-[[6-deoxy-2-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.alpha.-L-mannopyranosyl]oxy]-, 1-(carboxymethyl)octyl ester",Green [Circle],,Chemical added to the list,44418.0
37134-61-5,Rhamnopyranosyl-3-hydroxydecanoyl-3-hydroxydecanoate,"Decanoic acid, 3-[(6-deoxy-.alpha.-L-mannopyranosyl)oxy]-, 1-(carboxymethyl)octyl ester",Green [Circle],,Chemical added to the list,44418.0
68002-85-7,"Fatty acids, C14-22 and C16-22-unsatd.","Fatty acids, C14-22 and C16-22-unsatd.",Green [Circle],,Chemical added to the list,44418.0
61789-89-7,"Fatty acids, palm kernel-oil, sodium salts","Fatty acids, palm kernel-oil, sodium salts",Green [Circle],,Chemical added to the list,44418.0
26468-86-0,"Poly(oxy-1,2-ethanediyl), alpha-(2-ethylhexyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), .alpha.-(2-ethylhexyl)-.omega.-hydroxy-",Half Green [Circle],,Chemical added to the list,44418.0
61788-85-0,"Castor oil, hydrogenated, ethoxylated","Castor oil, hydrogenated, ethoxylated",Green [Circle],,Chemical added to the list,44418.0
366009-01-0,"Alcohols, C9-11, ethers with polyethylene glycol mono-Me ether","Alcohols, C9-11, ethers with polyethylene glycol mono-Me ether",Half Green [Circle],,Chemical added to the list,44418.0
1117-86-8,Caprylyl glycol,"1,2-Octanediol",Green [Circle],,Chemical added to two new functional classes (Emollients and Solvents),44418.0
9012-76-4,Chitosan,Chitosan,Green [Circle],,Chemical added to new functional class (Antimicrobial Actives),44418.0
102-76-1,Glycerol triacetate,"1,2,3-Propanetriol, 1,2,3-triacetate",Green [Circle],,Chemical moved from Fragrances to Solvents,44418.0
57455-37-5,C.I. Pigment Blue 29,C.I. Pigment Blue 29,Green [Circle],,Chemical added to the list,43964.0
7601-54-9,Trisodium phosphate,"Phosphoric acid, sodium salt (1:3)",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,43964.0
37350-42-8,"2-Propenoic acid, sodium salt (1:1), polymer with sodium 2-methyl-2-((1-oxo-2-propen-1-yl)amino)-1-propanesulfonate (1:1)","2-Propenoic acid, sodium salt (1:1), polymer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1)",Half Green [Circle],,Chemical added to the list,43964.0
59113-36-9,Diglycerin,"Propanediol, oxybis-",Half Green [Circle],,Chemical added to the list,43964.0
61-90-5,L-Leucine,L-Leucine,Green [Circle],,Chemical added to the list,43964.0
85895-78-9,Potassium (S)-lactate,"Propanoic acid, 2-hydroxy-, potassium salt (1:1), (2S)-",Green [Circle],,Chemical added to the list,43964.0
112-27-6,Triethylene Glycol,"Ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-",Green [Circle],,Chemical added to the list,43964.0
63393-82-8,"Alcohols, C12-15","Alcohols, C12-15",Green [Circle],,Chemical added to the list,43964.0
67701-11-5,"Fatty acids, C14-18 and C16-18-unsatd., sodium salts","Fatty acids, C14-18 and C16-18-unsatd., sodium salts",Green [Circle],,Chemical added to the list,43964.0
67701-10-4,"Fatty acids, C8-18 and C18-unsatd., sodium salts","Fatty acids, C8-18 and C18-unsatd., sodium salts",Green [Circle],,Chemical added to the list,43964.0
68440-15-3,"Fatty acids, palm-oil","Fatty acids, palm-oil",Green [Circle],,Chemical added to the list,43964.0
33939-64-9,"Laureth-11 carboxylic acid, sodium salt","Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(dodecyloxy)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,43964.0
106-14-9,"Octadecanoic acid, 12-hydroxy-","Octadecanoic acid, 12-hydroxy-",Green [Circle],,Chemical added to the list,43964.0
22047-49-0,"Octadecanoic acid, 2-ethylhexyl ester","Octadecanoic acid, 2-ethylhexyl ester",Green [Circle],,Chemical added to the list,43964.0
143-18-0,Potassium oleate,"9-Octadecenoic acid (9Z)-, potassium salt (1:1)",Green [Circle],,Chemical added to the list,43964.0
1120-01-0,Sodium hexadecyl sulfate,"1-Hexadecanol, 1-(hydrogen sulfate), sodium salt (1:1)",Green [Circle],,Chemical added to the list,43964.0
1120-04-3,Sodium stearyl sulfate,"Sulfuric acid, monooctadecyl ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,43964.0
1191-50-0,Sodium myristyl sulfate,"1-Tetradecanol, 1-(hydrogen sulfate), sodium salt (1:1)",Half Green [Circle],,Chemical added to the list,43964.0
68081-98-1,"Sulfuric acid, mono-C14-18-alkyl esters, sodium salts","Sulfuric acid, mono-C14-18-alkyl esters, sodium salts",Green [Circle],,Chemical added to the list,43964.0
68890-70-0,"Sulfuric acid, mono-C12-15-alkyl esters, sodium salts","Sulfuric acid, mono-C12-15-alkyl esters, sodium salts",Green [Circle],,Chemical added to the list,43964.0
97375-27-4,"Sulfuric acid, monococo alkyl esters, sodium salts","Sulfuric acid, monococo alkyl esters, sodium salts",Green [Circle],,Chemical added to the list,43964.0
3006-15-3,Bis(1-methylamyl) sodium sulfosuccinate,"Butanedioic acid, 2-sulfo-, 1,4-dihexyl ester, sodium salt (1:1)",Grey [Square],*Flagged on 6/13/2018 for removal from SCIL in 12 months.,Geometric color code changed from Green [Circle] to Grey [Square]. Chemical removed from the list.,43964.0
67-63-0,Isopropanol,2-Propanol,Green [Circle],,Chemical removed from functional class (Surfactant),43964.0
122-99-6,Phenoxyethanol,"Ethanol, 2-phenoxy-",Yellow [Triangle],"*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act.",Chemical added to new functional class (Solvents),43964.0
112-59-4,Diethylene glycol hexyl ether,"Ethanol, 2-[2-(hexyloxy)ethoxy]-",Yellow [Triangle],"*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",Chemical added to the list,43738.0
9004-74-4,Polyethylene glycol monomethyl ether,"Poly(oxy-1,2-ethanediyl), alpha-methyl-omega-hydroxy-",Green [Circle],,Chemical added to the list,43738.0
67701-30-8,"Glycerides, C16-18 and C18-unsatd.","Glycerides, C16-18 and C18-unsatd.",Green [Circle],,Chemical added to the list,43738.0
68937-85-9,"Fatty acids, coco, heavy fractions","Fatty acids, coco, heavy fractions",Green [Circle],,Chemical added to the list,43738.0
68989-61-7,"Fatty acids, C16-18, ethoxylated","Fatty acids, C16-18, ethoxylated",Half Green [Circle],,Chemical added to the list,43738.0
70851-08-0,Cocamidopropyl hydroxysultaine,"Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with sodium 3-chloro-2-hydroxypropanesulfonate",Green [Circle],,Chemical added to the list,43738.0
91144-30-8,"2-Propenoic acid, telomer with sodium sulfite (1:1), potassium salt","2-Propenoic acid, telomer with sodium sulfite (1:1), potassium salt",Green [Circle],,Chemical added to the list,43738.0
91744-32-0,"Glycerides, C8-10 mono-, di- and tri-",,Green [Circle],,Chemical added to the list,43738.0
518299-31-5,"Fatty acids, C16-18 and C18-unsatd., esters with polyethylene glycol mono-Me ether","Fatty acids, C16-18 and C18-unsatd., esters with polyethylene glycol mono-Me ether",Green [Circle],,Chemical added to the list,43738.0
9005-66-7,"Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl) derivs.",Half Green [Circle],,Chemical added to the list,43738.0
67701-01-3,"Fatty acids, C12-18","Fatty acids, C12-18",Green [Circle],,Chemical added to the list,43738.0
76326-99-3,"N,N-Dimethylglucamine","D-Glucitol, 1-deoxy-1-(dimethylamino)-",Half Green [Circle],,Chemical added to the list,43738.0
91744-68-2,"Glycerides, palm-oil mono-, di- and tri-, hydrogenated, citrates",,Half Green [Circle],,Chemical added to the list,43738.0
2809-21-4,Etridronic acid,"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,43738.0
6484-52-2,Ammonium nitrate,Nitric acid ammonium salt (1:1),Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,43738.0
9000-01-5,Gum arabic,Gum arabic,Green [Circle],,Chemical added to the list,43738.0
742087-48-5,Sodium decylglucosides hydroxypropylsulfonate,"D-Glucopyranose, oligomeric, decyl octyl glycosides, 2-hydroxy-3-sulfopropyl ethers, sodium salts",Half Green [Circle],,Chemical added to the list,43738.0
122-97-4,Benzenepropanol,Benzenepropanol,Green [Circle],,Chemical added to the list,43738.0
9004-95-9,Polyethylene glycol monocetyl ether,"Poly(oxy-1,2-ethanediyl), .alpha.-hexadecyl-.omega.-hydroxy-",Green [Circle],,Chemical added to the list,43738.0
9012-76-4,Chitosan,Chitosan,Green [Circle],,Chemical added to the list,43738.0
68298-20-4,"Glycine, N-[2-(carboxymethoxy)ethyl]-N-[2-[(1-oxododecyl)amino]ethyl]-, disodium salt","Glycine, N-[2-(carboxymethoxy)ethyl]-N-[2-[(1-oxododecyl)amino]ethyl]-, disodium salt (1:2)",Green [Circle],,Chemical added to the list,43738.0
68650-39-5,"Imidazolium compounds, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-norcoco alkyl, inner salts, disodium salts","Imidazolium compounds, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-norcoco alkyl, inner salts, disodium salts",Green [Circle],,Chemical added to the list,43738.0
68877-55-4,"Propanoic acid, 3-[2-(2-heptyl-4,5-dihydro-1H-imidazol-1-yl)ethoxy]-, sodium salt","Propanoic acid, 3-[2-(2-heptyl-4,5-dihydro-1H-imidazol-1-yl)ethoxy]-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,43738.0
68630-95-5,"1H-Imidazole-1-propanoic acid, 2-heptyl-2,3-dihydro-3-(2-hydroxyethyl)-, monosodium salt","1H-Imidazole-1-propanoic acid, 2-heptyl-2,3-dihydro-3-(2-hydroxyethyl)-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,43738.0
7320-34-5,Tetrapotassium pyrophosphate,"Diphosphoric acid, potassium salt (1:4)",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Added chemical use caveat,43738.0
29911-27-1,Dipropylene glycol propyl ether,"2-Propanol, 1-(1-methyl-2-propoxyethoxy)-",Yellow [Triangle],"*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",Added chemical use caveat,43738.0
91052-16-3,Palm oil glycerides citrate,"Glycerides, C16-18 and C18 unsatd. Mono- and di-, citrates",Half Green [Circle],,Added TSCA inventory caveat; Updated List Name,43738.0
6290-03-5,"(R)-(-)-1,3-Butanediol",,Green [Circle],,Chemical added to the list,43370.0
693-33-4,"1-Hexadecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt","1-Hexadecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",Green [Circle],,Chemical added to the list,43370.0
99-93-4,4-Hydroxyacetophenone,"Ethanone, 1-(4-hydroxyphenyl)-",Yellow [Triangle],,Chemical added to the list,43370.0
67-64-1,Acetone,2-Propanone,Yellow [Triangle],,Chemical added to the list,43370.0
60-12-8,Benzeneethanol,Benzeneethanol,Yellow [Triangle],,Chemical added to the list,43370.0
90170-43-7,"beta-Alanine, N-(2-carboxyethyl)-, N-coco alkyl derivs., disodium salts",,Half Green [Circle],,Chemical added to the list,43370.0
64972-19-6,"beta-Alanine, N-(2-carboxyethyl)-N-(3-(decyloxy)propyl)-, sodium salt (1:1",".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(decyloxy)propyl]-, sodium salt (1:1)",Half Green [Circle],,Chemical added to the list,43370.0
64972-18-5,"beta-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)","beta-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)",Half Green [Circle],,Chemical added to the list,43370.0
26099-89-8,"Butanedioic acid, 2-methylene-, homopolymer, sodium salt","Butanedioic acid, 2-methylene-, homopolymer, sodium salt",Green [Circle],,Chemical added to the list,43370.0
1591782-99-8,"D-Glucitol, 1-deoxy-1-(methylamino)-, N-(C16-18 and C18-unsatd. acyl) derivs.","D-Glucitol, 1-deoxy-1-(methylamino)-, N-(C16-18 and C18-unsatd. acyl) derivs.",Green [Circle],,Chemical added to the list,43370.0
1591783-13-9,"D-Glucitol, 1-deoxy-1-(methylamino)-, N-coco acyl derivs.","D-Glucitol, 1-deoxy-1-(methylamino)-, N-coco acyl derivs.",Green [Circle],,Chemical added to the list,43370.0
68002-84-6,"Fatty acids, C18 and C18-unsatd.","Fatty acids, C18 and C18-unsatd.",Green [Circle],,Chemical added to the list,43370.0
68154-77-8,"Fatty acids, olive-oil, potassium salts","Fatty acids, olive-oil, potassium salts",Green [Circle],,Chemical added to the list,43370.0
110-94-1,Glutaric acid,Pentanedioic acid,Green [Circle],,Chemical added to the list,43370.0
68155-78-2,Heptasodium diethylenetriaminepentamethylenephosphonate,"Phosphonic acid, P,P',P'',P'''-[[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-, sodium salt (1:7)",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,43370.0
25601-41-6,Methyl 9-decenoate,"9-Decenoic acid, methyl ester",Green [Circle],,Chemical added to the list,43370.0
2601-33-4,Myristyl betaine,"1-Tetradecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",Green [Circle],,Chemical added to the list,43370.0
97953-25-8,"Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt","Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt",Green [Circle],,Chemical added to the list,43370.0
994-36-5,Sodium citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:?)",Green [Circle],,Chemical added to the list,43370.0
1847-58-1,Sodium lauryl sulfoacetate,"Acetic acid, 2-sulfo-, dodecyl ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,43370.0
26530-20-1,"3(2H)-Isothiazolone, 2-octyl-","3(2H)-Isothiazolone, 2-octyl-",Yellow [Triangle],,Chemical added to the list,43370.0
124-04-9,Adipic acid,Hexanedioic acid,Green [Circle],,Geometric color code changed from Half-Green [Circle] to Green [Circle],43370.0
100-51-6,Benzyl alcohol,Benzenemethanol,Yellow [Triangle],,Chemical added to new functional class (Preservatives and Antioxidants),43370.0
3006-15-3,Bis(1-methylamyl) sodium sulfosuccinate,"Butanedioic acid, 2-sulfo-, 1,4-dihexyl ester, sodium salt (1:1)",Grey [Square],*Flagged on 9/27/2018 for removal from SCIL in 12 months.,Geometric color code changed from Green [Circle] to Grey [Square]. Added caveat regarding removal from SCIL.,43370.0
9011-05-6,Polynoxylin,"Urea, polymer with formaldehyde",,*Flagged on 3/31/2017 for removal from SCIL in 12 months.,Chemical removed from the list,43370.0
770-35-4,Propylene glycol phenyl ether,"2-Propanol, 1-phenoxy-",Yellow [Triangle],,Chemical added to the list,43167.0
1591782-62-5,"D-Glucitol, 1-deoxy-1-(methylamino)-, N-C8-10 acyl derivs.","D-Glucitol, 1-deoxy-1-(methylamino)-, N-C8-10 acyl derivs.",Green [Circle],,Chemical added to the list,43167.0
9001-05-2,Catalase,Catalase,Yellow [Triangle],,Chemical added to the list,43167.0
141-04-8,Diisobutyl adipate,"Hexanedioic acid, 1,6-bis(2-methylpropyl) ester",Half Green [Circle],,Chemical added to the list,43167.0
1303-86-2,Boron trioxide,Boron oxide (B2O3),Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,43167.0
144-19-4,"2,2,4-Trimethyl-1,3-pentanediol","1,3-Pentanediol, 2,2,4-trimethyl-",Yellow [Triangle],,Chemical added to the list,43167.0
2091-29-4,Palmitoleic acid,9-Hexadecenoic acid,Green [Circle],,Chemical added to the list,43167.0
2416-19-5,(Z)-7-Hexadecenoic acid,,Green [Circle],,Chemical added to the list,43167.0
373-49-9,(Z)-9-Hexadecenoic acid,,Green [Circle],,Chemical added to the list,43167.0
6610-24-8,Sodium (Z)-hexadec-9-enoate,,Green [Circle],,Chemical added to the list,43167.0
4792-15-8,Pentaethylene glycol,"3,6,9,12-Tetraoxatetradecane-1,14-diol",Half Green [Circle],,Chemical added to the list,43167.0
2615-15-8,Hexaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
5617-32-3,Heptaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
5117-19-1,Octaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
3386-18-3,Nonaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
5579-66-8,Decaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
6809-70-7,Undecaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
6790-09-6,Dodecaethylene glycol,,Half Green [Circle],,Chemical added to the list,43167.0
100-51-6,Benzyl alcohol,Benzenemethanol,Yellow [Triangle],,Chemical added to the list,43167.0
143-28-2,cis-Oleyl alcohol,"9-Octadecen-1-ol, (9Z)-",Green [Circle],,Chemical added to the list,43167.0
6485-40-1,L-Carvone,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5R)-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical removed from the list,43167.0
99-49-0,Carvone,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical removed from the list,43167.0
98-52-2,4-tert-Butylcyclohexanol,"Cyclohexanol, 4-(1,1-dimethylethyl)-",Yellow [Triangle],"*Repeat dose toxicant, see above.",Chemical removed from the list,43167.0
32210-23-4,4-t-Butylcyclohexyl acetate ,"Cyclohexanol, 4-(1,1-dimethylethyl)-, 1-acetate",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical removed from the list,43167.0
88-41-5,Verdox,"Cyclohexanol, 2-(1,1-dimethylethyl)-, 1-acetate",Yellow [Triangle],*Lacks sufficient sensitization data; repeat dose toxicant. See above.,Chemical removed from the list,43167.0
25322-68-3,Polyethylene glycol,"Poly(oxy-1,2-ethanediyl), alpha-hydro-omega-hydroxy-",Half Green [Circle],,Geometric color code changed from Green [Circle] to Half-Green [Circle],43167.0
67784-80-9,"Soybean oil, methyl esters","Soybean oil, Me ester",Green [Circle],,"Geometric color code changed from Yellow [Triangle] to Green [Circle]. Removed from Specialized Industrial Products functional class. Removed chemical caveat ""*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.""",43167.0
68919-53-9,"Fatty acids, soya, Me esters","Fatty acids, soya, Me esters",Green [Circle],,"Geometric color code changed from Yellow [Triangle] to Green [Circle]. Removed from Specialized Industrial Products functional class. Removed chemical caveat ""*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.""",43167.0
67762-38-3,"Fatty acids, C16-18 and C18-unsatd., methyl esters","Fatty acids, C16-18 and C18-unsatd., Me esters",Green [Circle],,"Geometric color code changed from Yellow [Triangle] to Green [Circle]. Removed from Specialized Industrial Products functional class. Removed chemical caveat ""*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.""",43167.0
68608-64-0,"Acetic acid, 2-chloro-, reaction products with 2-heptyl-4,5-dihydro-1H-imidazole-1-ethanol and sodium hydroxide","Acetic acid, 2-chloro-, reaction products with 2-heptyl-4,5-dihydro-1H-imidazole-1-ethanol and sodium hydroxide",Half Green [Circle],,Chemical added to the list,43004.0
1354427-59-0,"Syrups, hydrolyzed starch, polymers with acrylic acid and maleic anhydride, sodium salt, hydrogen peroxide- and peroxydisulfuric acid ([(HO)S(O)2]2O2) sodium salt (1:2)-initiated","Syrups, hydrolyzed starch, polymers with acrylic acid and maleic anhydride, sodium salt, hydrogen peroxide- and peroxydisulfuric acid ([(HO)S(O)2]2O2) sodium salt (1:2)-initiated",Green [Circle],,Chemical added to the list,43004.0
629-96-9,1-Eicosanol,1-Eicosanol,Green [Circle],,Chemical added to the list,43004.0
68608-66-2,"Acetic acid, chloro-, sodium salt, reaction products with 4,5-dihydro-2-undecyl-1H-imidazole-1-ethanol and sodium hydroxide","Acetic acid, 2-chloro-, sodium salt (1:1), reaction products with 4,5-dihydro-2-undecyl-1H-imidazole-1-ethanol and sodium hydroxide",Green [Circle],,Chemical added to the list,43004.0
8001-78-3,"Castor oil, hydrogenated","Castor oil, hydrogenated",Half Green [Circle],,Chemical added to the list,43004.0
9043-30-5,Polyethylene glycol monoisotridecyl ether,"Poly(oxy-1,2-ethanediyl), .alpha.-isotridecyl-.omega.-hydroxy-",Green [Circle],,Chemical added to the list,43004.0
9057-06-1,"Starch, carboxymethyl ether","Starch, carboxymethyl ether",Green [Circle],,Chemical added to the list,43004.0
