List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Half Green [Circle],18479-58-8,Dihydromyrcenol,"7-Octen-2-ol, 2,6-dimethyl-",,
Yellow [Triangle],10250-45-0,Diisobutyl carbinyl acetate,"4-Heptanol, 2,6-dimethyl-, 4-acetate",*Lacks sufficient sensitization data; repeat dose toxicant. See above.,
Green [Circle],108-59-8,Dimethyl malonate,"Propanedioic acid, 1,3-dimethyl ester",,
Yellow [Triangle],68737-61-1,Dimethyl tetrahydrobenzaldehyde,"3-Cyclohexene-1-carboxaldehyde, 2,4(or 3,5)-dimethyl-",*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],1191-16-8,Dimethylallyl acetate,"2-Buten-1-ol, 3-methyl-, 1-acetate","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],138-86-3,Dipentene,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-","*Known sensitizer, see above.",
Yellow [Triangle],101-84-8,Diphenyl oxide,"Benzene, 1,1'-oxybis-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],5989-27-5,D-Limonene,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-","*Known sensitizer, see above. *Yellow due to hazard concerns. Must meet 5.5.2.",
Yellow [Triangle],15356-60-2,D-Menthol,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1S,2R,5S)-","*Known sensitizer, see above.",
Yellow [Triangle],112-54-9,Dodecanal,Dodecanal,"*Known sensitizer, see above.",
Yellow [Triangle],105-54-4,Ethyl butyrate,"Butanoic acid, ethyl ester","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],67634-15-5,Ethyl dimethylhydrocinnamaldehyde,"Benzenepropanal, 4-ethyl-.alpha.,.alpha.-dimethyl-",*Lacks sufficient sensitization data; repeat dose toxicant. See above.,
Half Green [Circle],7452-79-1,Ethyl ester 2-methylbutanoic acid,"Butanoic acid, 2-methyl-, ethyl ester",,
Yellow [Triangle],108-64-5,Ethyl isovalerate,"Butanoic acid, 3-methyl-, ethyl ester","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],10339-55-6,Ethyl linalool,"1,6-Nonadien-3-ol, 3,7-dimethyl-","*Known sensitizer, see above.",
Yellow [Triangle],61931-80-4,Ethyl linalyl acetate,"1,6-Nonadien-3-ol, 3,7-dimethyl-, 3-acetate","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],692-86-4,Ethyl undecylenate,"10-Undecenoic acid, ethyl ester","*Repeat dose toxicant, see above.",
Half Green [Circle],121-32-4,Ethyl vanillin,"Benzaldehyde, 3-ethoxy-4-hydroxy-",,
Half Green [Circle],105-95-3,Ethylene brassylate,"1,4-Dioxacycloheptadecane-5,17-dione",,
Yellow [Triangle],470-82-6,Eucalyptol,"2-Oxabicyclo[2.2.2]octane, 1,3,3-trimethyl-","*Known sensitizer, see above.",
Half Green [Circle],63500-71-0,Florol,"2H-Pyran-4-ol, tetrahydro-4-methyl-2-(2-methylpropyl)-",,
Half Green [Circle],706-14-9,gamma-Decalactone,"2(3H)-Furanone, 5-hexyldihydro-",,
Half Green [Circle],105-21-5,gamma-Heptalactone,"2(3H)-Furanone, dihydro-5-propyl-",,
Half Green [Circle],695-06-7,gamma-Hexalactone,"2(3H)-Furanone, 5-ethyldihydro-",,
Half Green [Circle],104-61-0,gamma-Nonalactone,"2(3H)-Furanone, dihydro-5-pentyl-",,
Half Green [Circle],104-50-7,gamma-Octalactone,"2(3H)-Furanone, 5-butyldihydro-",,
Yellow [Triangle],99-85-4,gamma-Terpinene,"1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-","*Lacks sufficient sensitization data, see above.",
Half Green [Circle],104-67-6,Gamma-undecalactone,"2(3H)-Furanone, 5-heptyldihydro-",,
Half Green [Circle],141773-73-1,Helvetolide,"1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate",,
Yellow [Triangle],66-25-1,Hexanal,Hexanal,"*Known sensitizer, see above.",
Half Green [Circle],123-66-0,"Hexanoic acid, ethyl ester","Hexanoic acid, ethyl ester",,
Half Green [Circle],142-92-7,Hexyl acetate,"Acetic acid, hexyl ester",,
Yellow [Triangle],6259-76-3,Hexyl Salicylate,"Benzoic acid, 2-hydroxy-, hexyl ester",*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],107-75-5,Hydroxycitronellal,"Octanal, 7-hydroxy-3,7-dimethyl-",*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],120-72-9,Indole,1H-Indole,*Lacks sufficient sensitization data; repeat dose toxicant. See above.,
Half Green [Circle],123-92-2,Isoamyl acetate,"1-Butanol, 3-methyl-, 1-acetate",,
Yellow [Triangle],106-27-4,Isoamyl butyrate,"Butanoic acid, 3-methylbutyl ester","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],87-20-7,Isoamyl salicylate,"Benzoic acid, 2-hydroxy-, 3-methylbutyl ester",*Known sensitizer; repeat dose toxicant. See above.,
Half Green [Circle],110-19-0,Isobutyl acetate,"Acetic acid, 2-methylpropyl ester",,
Yellow [Triangle],87-19-4,Isobutyl salicylate,"Benzoic acid, 2-hydroxy-, 2-methylpropyl ester","*Known sensitizer, see above.",
Yellow [Triangle],1335-66-6,Isocyclocitral,Isocyclocitral,*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],125109-85-5,Isopropylphenylbutanal,"Benzenepropanal, .beta.-methyl-3-(1-methylethyl)-",*Lacks sufficient sensitization data; repeat dose toxicant. See above.,
Yellow [Triangle],89-79-2,Isopulegol,"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, (1R,2S,5R)-","*Repeat dose toxicant, see above.",
Half Green [Circle],18871-14-2,Jasmal,"Pentitol, 1,5-anhydro-2,4-dideoxy-2-pentyl-, 3-acetate",,
Half Green [Circle],38285-49-3,Jasmin pyranol,"2H-Pyran-4-ol, 3-butyltetrahydro-5-methyl-, acetate",,
Yellow [Triangle],488-10-8,Jasmone,"2-Cyclopenten-1-one, 3-methyl-2-(2Z)-2-penten-1-yl-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],68039-49-6,Ligustral,"3-Cyclohexene-1-carboxaldehyde, 2,4-dimethyl-",*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],78-70-6,Linalool,"1,6-Octadien-3-ol, 3,7-dimethyl-","*Known sensitizer, see above.",
Yellow [Triangle],115-95-7,Linalyl acetate,"1,6-Octadien-3-ol, 3,7-dimethyl-, 3-acetate","*Known sensitizer, see above.",
Yellow [Triangle],2216-51-5,L-Menthol,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-","*Known sensitizer, see above.",
Yellow [Triangle],106-72-9,Melonal,"5-Heptenal, 2,6-dimethyl-",*Known sensitizer; repeat dose toxicant. See above.,
Yellow [Triangle],1490-04-6,Menthol,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-","*Known sensitizer, see above.",
Yellow [Triangle],89-78-1,"Menthol, racemic","Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1R,2S,5R)-rel-","*Known sensitizer, see above.",
Yellow [Triangle],111-79-5,Methyl 2-nonenoate,"2-Nonenoic acid, methyl ester","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],111-80-8,Methyl 2-nonynoate,"2-Nonynoic acid, methyl ester","*Known sensitizer, see above.",
Yellow [Triangle],93-58-3,Methyl benzoate,"Benzoic acid, methyl ester","*Repeat dose toxicant, see above.",
Green [Circle],24851-98-7,Methyl dihydrojasmonate,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",,
Yellow [Triangle],111-81-9,Methyl undecylenate,"10-Undecenoic acid, methyl ester","*Repeat dose toxicant, see above.",
Half Green [Circle],54982-83-1,Muskonate,"1,4-Dioxacyclohexadecane-5,16-dione ",,
Half Green [Circle],543-39-5,Myrcenol,"7-Octen-2-ol, 2-methyl-6-methylene-",,
Yellow [Triangle],93-18-5,"Naphthalene, 2-ethoxy-","Naphthalene, 2-ethoxy-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],93-04-9,"Naphthalene, 2-methoxy-","Naphthalene, 2-methoxy-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],124-19-6,Nonanal,Nonanal,"*Known sensitizer, see above.",
Yellow [Triangle],124-13-0,Octanal,Octanal,"*Known sensitizer, see above.",
Yellow [Triangle],112-14-1,Octyl acetate,"Acetic acid, octyl ester","*Lacks sufficient sensitization data, see above.",
Half Green [Circle],109-29-5,Oxacycloheptadecan-2-one,Oxacycloheptadecan-2-one,,
Yellow [Triangle],111879-80-2,"Oxacyclohexadec-12-en-2-one, (12E)-","Oxacyclohexadec-12-en-2-one, (12E)-","*Known sensitizer, see above.",
Yellow [Triangle],111879-79-9,"Oxacyclohexadec-12-en-2-one, (12Z)-","Oxacyclohexadec-12-en-2-one, (12Z)-","*Known sensitizer, see above.",
Yellow [Triangle],99219-32-6,"Oxacyclohexadec-13-en-2-one, (13E)-","Oxacyclohexadec-13-en-2-one, (13E)-","*Known sensitizer, see above.",
Yellow [Triangle],111879-81-3,"Oxacyclohexadec-13-en-2-one, (13Z)-","Oxacyclohexadec-13-en-2-one, (13Z)-","*Known sensitizer, see above.",
Half Green [Circle],106-02-5,Oxacyclohexadecan-2-one,Oxacyclohexadecan-2-one,,
Yellow [Triangle],69103-20-4,"Oxirane, 2,2-dimethyl-3-(3-methyl-2,4-pentadien-1-yl)-","Oxirane, 2,2-dimethyl-3-(3-methyl-2,4-pentadien-1-yl)-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],67634-14-4,"p-Ethyl-alpha,alpha-dimethyl-hydrocinnamaldehyde","Benzenepropanal, 2-ethyl-.alpha.,.alpha.-dimethyl-",*Lacks sufficient sensitization data; repeat dose toxicant. See above.,
Yellow [Triangle],67634-20-2,"Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-5-yl ester","Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-5-yl ester","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],68039-39-4,"Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl ester","Propanoic acid, 2-methyl-, 3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl ester","*Lacks sufficient sensitization data, see above.",
Half Green [Circle],65113-99-7,Sandalore,"3-Cyclopentene-1-butanol, .alpha.,.beta.,2,2,3-pentamethyl-",,
Yellow [Triangle],86803-90-9,Scentenal,"4,7-Methano-1H-indene-2-carboxaldehyde, octahydro-5-methoxy-","*Known sensitizer, see above.",
Yellow [Triangle],8008-57-9,Sweet orange oil,"Oils, orange, sweet","*Known sensitizer, see above.",
Half Green [Circle],8000-41-7,Terpineol,Terpineol,,
Half Green [Circle],8007-35-0,Terpineol acetate,"Terpineol, acetate",,
Yellow [Triangle],586-62-9,Terpinolene,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-","*Known sensitizer, see above.",
Half Green [Circle],80-26-2,Terpinyl acetate,"3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, 1-acetate",,
Yellow [Triangle],78-69-3,Tetrahydrolinalool,"3-Octanol, 3,7-dimethyl-","*Known sensitizer, see above.",
Yellow [Triangle],928-97-2,trans-3-Hexenol,"3-Hexen-1-ol, (3E)-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],17511-60-3,Tricyclodecenyl propionate,"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, 6-propanoate","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],77-93-0,Triethyl citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-triethyl ester","*Known sensitizer, see above.",
Yellow [Triangle],112-44-7,Undecanal,Undecanal,"*Known sensitizer, see above.",
Green [Circle],121-33-5,Vanillin,"Benzaldehyde, 4-hydroxy-3-methoxy-",,
Yellow [Triangle],122-48-5,Vanillyl acetone,"2-Butanone, 4-(4-hydroxy-3-methoxyphenyl)-","*Lacks sufficient sensitization data, see above.",
Yellow [Triangle],5413-60-5,Verdyl acetate,"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, 6-acetate","*Lacks sufficient sensitization data, see above.",
